cbsatitle,2013,2014,2015
,,,
"Abilene, TX (Metropolitan Statistical Area)",6922.5,7436.2,6862.9
"Akron, OH (Metropolitan Statistical Area)",31308,33445,35124.9
"Albany, GA (Metropolitan Statistical Area)",5247,5179.5,5133.3
"Albany, OR (Metropolitan Statistical Area)",3558.7,3632.3,3804.9
"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",47093.6,48563.3,51432.8
"Albuquerque, NM (Metropolitan Statistical Area)",37897.5,39814.9,41538.7
"Alexandria, LA (Metropolitan Statistical Area)",5485.8,5594.4,5758.9
"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",35623.8,39109.4,41647.4
"Altoona, PA (Metropolitan Statistical Area)",4928.1,5093.6,5290.6
"Amarillo, TX (Metropolitan Statistical Area)",12441.9,12904.3,12967.7
"Ames, IA (Metropolitan Statistical Area)",4428.7,4599.2,4985.2
"Anchorage, AK (Metropolitan Statistical Area)",31029.9,30204.5,28068.8
"Ann Arbor, MI (Metropolitan Statistical Area)",20260.2,20177.2,21715.1
"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)",3690.2,3730.2,3737.6
"Appleton, WI (Metropolitan Statistical Area)",10800.7,11374.1,12205.2
"Asheville, NC (Metropolitan Statistical Area)",15279.7,16229.9,17742.1
"Athens-Clarke County, GA (Metropolitan Statistical Area)",7364,7684.1,8433.2
"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",307750,326501.7,347603.9
"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",12770.4,12769.7,12543.8
"Auburn-Opelika, AL (Metropolitan Statistical Area)",4328.2,4602.5,4864.8
"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",21155.1,22122.4,23274.4
"Austin-Round Rock, TX (Metropolitan Statistical Area)",111720.1,119571.7,127804.4
"Bakersfield, CA (Metropolitan Statistical Area)",38009.3,39532.8,36807.4
"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",167270.1,173073.2,178894.9
"Bangor, ME (Metropolitan Statistical Area)",5455.1,5562.2,5752.9
"Barnstable Town, MA (Metropolitan Statistical Area)",9963.7,10192.3,10766.3
"Baton Rouge, LA (Metropolitan Statistical Area)",48361.6,51027.1,51979.6
"Battle Creek, MI (Metropolitan Statistical Area)",5588.4,5624.3,5860.3
"Bay City, MI (Metropolitan Statistical Area)",3156.7,3093.8,3188.2
"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",23733.7,24502.6,25053.1
"Beckley, WV (Metropolitan Statistical Area)",4235.7,4224.3,4033.1
"Bellingham, WA (Metropolitan Statistical Area)",10047,9619.3,10223.8
"Bend-Redmond, OR (Metropolitan Statistical Area)",6882.5,7584.2,8421.4
"Billings, MT (Metropolitan Statistical Area)",8959.5,10035.1,10103.9
"Binghamton, NY (Metropolitan Statistical Area)",9118.5,9094.5,9250.1
"Birmingham-Hoover, AL (Metropolitan Statistical Area)",57698.6,58971.9,61259.2
"Bismarck, ND (Metropolitan Statistical Area)",6863.2,7680.5,8135
"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",6335.1,6650.9,6991.1
"Bloomington, IL (Metropolitan Statistical Area)",11248.7,11673.6,12052.9
"Bloomington, IN (Metropolitan Statistical Area)",6192.2,6392.5,6651.4
"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",3603.6,3594.5,3880
"Boise City, ID (Metropolitan Statistical Area)",27715.1,29103.3,30155.1
"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",364803.6,380768.8,407675.1
"Boulder, CO (Metropolitan Statistical Area)",20969.3,22362.8,23508.4
"Bowling Green, KY (Metropolitan Statistical Area)",6284.3,6471.8,6758
"Bremerton-Silverdale, WA (Metropolitan Statistical Area)",9448.1,10003.3,10364.2
"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",92545.2,95656.3,96895.7
"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",9365.6,9650.4,9896.7
"Brunswick, GA (Metropolitan Statistical Area)",3504.3,3572.4,3805.2
"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)",52473.8,54409.7,56814.5
"Burlington, NC (Metropolitan Statistical Area)",4891.7,4884,4961.5
"Burlington-South Burlington, VT (Metropolitan Statistical Area)",12336.9,12696.2,13141.7
"California-Lexington Park, MD (Metropolitan Statistical Area)",5822.8,5952.1,6151.9
"Canton-Massillon, OH (Metropolitan Statistical Area)",15987.3,16895.9,16839.7
"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",21857.9,23596.4,25820.5
"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",3884.5,4005.1,4186.2
"Carbondale-Marion, IL (Metropolitan Statistical Area)",4781.9,4855.1,4966.8
"Carson City, NV (Metropolitan Statistical Area)",3218.6,3304.6,3050.7
"Casper, WY (Metropolitan Statistical Area)",6754.6,7229.8,6500.8
"Cedar Rapids, IA (Metropolitan Statistical Area)",16395.5,16987.6,18139.3
"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",4948.4,5119.5,5230
"Champaign-Urbana, IL (Metropolitan Statistical Area)",11096.2,11333.8,11677.3
"Charleston, WV (Metropolitan Statistical Area)",13231,12540.7,12731.8
"Charleston-North Charleston, SC (Metropolitan Statistical Area)",32720.1,34749.8,36979.7
"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",136399,143367.1,155592.4
"Charlottesville, VA (Metropolitan Statistical Area)",11115.7,11797.9,12567.5
"Chattanooga, TN-GA (Metropolitan Statistical Area)",23143.5,23582,24965.4
"Cheyenne, WY (Metropolitan Statistical Area)",5533.4,5486.8,5675.9
"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",585947.7,608805,639032.8
"Chico, CA (Metropolitan Statistical Area)",7048.2,7042.8,7558.3
"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",120413.2,123355.7,127587.5
"Clarksville, TN-KY (Metropolitan Statistical Area)",10413.2,10459.6,10700.2
"Cleveland, TN (Metropolitan Statistical Area)",3911.7,4116,4292.9
"Cleveland-Elyria, OH (Metropolitan Statistical Area)",118335.2,123856.2,128887.2
"Coeur d'Alene, ID (Metropolitan Statistical Area)",4844.6,5040.1,5400.2
"College Station-Bryan, TX (Metropolitan Statistical Area)",8723.3,9308.8,9698
"Colorado Springs, CO (Metropolitan Statistical Area)",28790.5,28779.2,30077
"Columbia, MO (Metropolitan Statistical Area)",8128.1,8340.2,8657.8
"Columbia, SC (Metropolitan Statistical Area)",34761.7,36816.2,39312.3
"Columbus, GA-AL (Metropolitan Statistical Area)",13369.4,13492.4,13762.2
"Columbus, IN (Metropolitan Statistical Area)",5168.6,5415.9,5731.3
"Columbus, OH (Metropolitan Statistical Area)",113236.1,118390.5,126020.8
"Corpus Christi, TX (Metropolitan Statistical Area)",24253.9,24268.3,22812.6
"Corvallis, OR (Metropolitan Statistical Area)",4413.5,4355.4,4316.3
"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",11289.2,12297.8,13201.9
"Cumberland, MD-WV (Metropolitan Statistical Area)",3000.9,3049.1,3120.1
"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",448178.1,475929.3,491878.7
"Dalton, GA (Metropolitan Statistical Area)",5489.8,5916.3,6209.5
"Danville, IL (Metropolitan Statistical Area)",2867.6,2844.4,2842.2
"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",6442.8,6719,6643.5
"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",19031,19099,19160.9
"Dayton, OH (Metropolitan Statistical Area)",36999.3,38409.1,39345.7
"Decatur, AL (Metropolitan Statistical Area)",5365.5,5507,5174.7
"Decatur, IL (Metropolitan Statistical Area)",5821.9,6156.9,6261.4
"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",15144.7,15419.6,16176.8
"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",173016.1,186345.1,192499.2
"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",42304.1,45299.1,50852.6
"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",220276.9,229348.3,242296.1
"Dothan, AL (Metropolitan Statistical Area)",4819.2,4902.7,4986.9
"Dover, DE (Metropolitan Statistical Area)",6314,6642.1,6917.9
"Dubuque, IA (Metropolitan Statistical Area)",4979.4,5284.2,5656.3
"Duluth, MN-WI (Metropolitan Statistical Area)",12465.4,12912.8,11692
"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",41803.1,43310.3,43666.6
"East Stroudsburg, PA (Metropolitan Statistical Area)",5581.2,5551.9,5815.9
"Eau Claire, WI (Metropolitan Statistical Area)",7194.1,7556.4,8076.9
"El Centro, CA (Metropolitan Statistical Area)",5769.7,5563.2,5918.1
"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",5951.3,6012.9,5851.3
"Elkhart-Goshen, IN (Metropolitan Statistical Area)",11784,12991.9,14297.9
"Elmira, NY (Metropolitan Statistical Area)",3357,3390.8,3411.4
"El Paso, TX (Metropolitan Statistical Area)",26582.2,26725.3,27867.3
"Enid, OK (Metropolitan Statistical Area)",3255.6,3478.7,3446
"Erie, PA (Metropolitan Statistical Area)",10861.7,10879.5,11154.9
"Eugene, OR (Metropolitan Statistical Area)",13289,13622.1,14696.3
"Evansville, IN-KY (Metropolitan Statistical Area)",17080.7,17059.4,17105.4
"Fairbanks, AK (Metropolitan Statistical Area)",5178.5,5339.3,5323.2
"Fargo, ND-MN (Metropolitan Statistical Area)",13282.5,14354.8,14960.7
"Farmington, NM (Metropolitan Statistical Area)",7076.6,7354.7,6298.8
"Fayetteville, NC (Metropolitan Statistical Area)",17094.3,16867.4,16981.1
"Fayetteville-Springdale-Rogers, AR-MO (Metropolitan Statistical Area)",22414.6,23799.3,25437.4
"Flagstaff, AZ (Metropolitan Statistical Area)",5200.9,5302.5,5563.1
"Flint, MI (Metropolitan Statistical Area)",12369.3,12574.9,13227.7
"Florence, SC (Metropolitan Statistical Area)",7709.4,7887.7,8201.4
"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",4501.5,4673.3,4803.7
"Fond du Lac, WI (Metropolitan Statistical Area)",4243,4486,4695.6
"Fort Collins, CO (Metropolitan Statistical Area)",14113.6,14314.9,15085.7
"Fort Smith, AR-OK (Metropolitan Statistical Area)",10097,10362.1,9968.2
"Fort Wayne, IN (Metropolitan Statistical Area)",18795,19544.3,20735.1
"Fresno, CA (Metropolitan Statistical Area)",36140.5,37447.1,39663.1
"Gadsden, AL (Metropolitan Statistical Area)",2651.6,2715,2849.9
"Gainesville, FL (Metropolitan Statistical Area)",11746.1,11602.5,11959.1
"Gainesville, GA (Metropolitan Statistical Area)",7185.3,7827.8,8659.8
"Gettysburg, PA (Metropolitan Statistical Area)",2919.2,3033.8,3125.3
"Glens Falls, NY (Metropolitan Statistical Area)",4643,4793.7,4929.1
"Goldsboro, NC (Metropolitan Statistical Area)",4329.8,4381,4448.1
"Grand Forks, ND-MN (Metropolitan Statistical Area)",4912.1,4975.4,5229.6
"Grand Island, NE (Metropolitan Statistical Area)",4041.3,4068.3,4224.9
"Grand Junction, CO (Metropolitan Statistical Area)",5179.4,5374.2,5293.4
"Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)",49187.3,52318.7,56274.7
"Grants Pass, OR (Metropolitan Statistical Area)",1948,2062.5,2241.7
"Great Falls, MT (Metropolitan Statistical Area)",3102.1,3294.3,3413.9
"Greeley, CO (Metropolitan Statistical Area)",9331.7,10921.1,11372.8
"Green Bay, WI (Metropolitan Statistical Area)",16652.1,17122.7,18335.9
"Greensboro-High Point, NC (Metropolitan Statistical Area)",36566.6,38228.8,40227.9
"Greenville, NC (Metropolitan Statistical Area)",7319.5,7481.7,7735
"Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)",34669.1,36520.5,39122.4
"Gulfport-Biloxi-Pascagoula, MS (Metropolitan Statistical Area)",16445,16332.6,16487.3
"Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",8845.9,9253.3,9398
"Hammond, LA (Metropolitan Statistical Area)",3650.8,3844.5,3735.8
"Hanford-Corcoran, CA (Metropolitan Statistical Area)",4906.6,5257.6,5090
"Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",32544.2,33546.6,35209.1
"Harrisonburg, VA (Metropolitan Statistical Area)",7340.4,7506,7901.1
"Hartford-West Hartford-East Hartford, CT (Metropolitan Statistical Area)",82699.3,83415.8,88387.5
"Hattiesburg, MS (Metropolitan Statistical Area)",5315.9,5504.5,5768.3
"Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",11867,12258.8,13121.1
"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)",7782.8,8269.2,8645.1
"Hinesville, GA (Metropolitan Statistical Area)",3592.6,3465,3435.3
"Homosassa Springs, FL (Metropolitan Statistical Area)",3086.6,2972.5,3045.2
"Hot Springs, AR (Metropolitan Statistical Area)",2868.6,2922.5,3027.9
"Houma-Thibodaux, LA (Metropolitan Statistical Area)",11527.6,11610.5,10698.5
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",488429.6,507183.1,494837.4
"Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",14853.5,15050.2,14746.2
"Huntsville, AL (Metropolitan Statistical Area)",22533.6,23332.3,24153.4
"Idaho Falls, ID (Metropolitan Statistical Area)",5522.1,5718.4,6191.9
"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",123565,127666.5,130824.6
"Iowa City, IA (Metropolitan Statistical Area)",9020.4,9537,9785.6
"Ithaca, NY (Metropolitan Statistical Area)",4778.2,4840.8,4967.7
"Jackson, MI (Metropolitan Statistical Area)",5800.6,5729.2,5929.2
"Jackson, MS (Metropolitan Statistical Area)",27331.9,28258.2,28842.1
"Jackson, TN (Metropolitan Statistical Area)",5787.7,5755,5900
"Jacksonville, FL (Metropolitan Statistical Area)",62166,64001.1,68810.2
"Jacksonville, NC (Metropolitan Statistical Area)",7858.8,7830.9,7727.8
"Janesville-Beloit, WI (Metropolitan Statistical Area)",5815.6,5726.1,6065
"Jefferson City, MO (Metropolitan Statistical Area)",6743.9,6926.1,7128.9
"Johnson City, TN (Metropolitan Statistical Area)",6279,6310.4,6690.8
"Johnstown, PA (Metropolitan Statistical Area)",4210.9,4244.7,4221
"Jonesboro, AR (Metropolitan Statistical Area)",4781,4777.9,4966.5
"Joplin, MO (Metropolitan Statistical Area)",6743.6,6836.9,7227.7
"Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)",7658,8005.4,8520.2
"Kalamazoo-Portage, MI (Metropolitan Statistical Area)",14003.3,14450.2,15714.3
"Kankakee, IL (Metropolitan Statistical Area)",3742.9,3827.6,4181.3
"Kansas City, MO-KS (Metropolitan Statistical Area)",115710.9,120757.8,125765.1
"Kennewick-Richland, WA (Metropolitan Statistical Area)",11502.8,11714.3,12642.4
"Killeen-Temple, TX (Metropolitan Statistical Area)",15980.5,16104,16883.1
"Kingsport-Bristol-Bristol, TN-VA (Metropolitan Statistical Area)",12062.8,11601.1,11686.5
"Kingston, NY (Metropolitan Statistical Area)",5610.4,5665.5,5917.9
"Knoxville, TN (Metropolitan Statistical Area)",34875.4,36366.4,38343.4
"Kokomo, IN (Metropolitan Statistical Area)",4078.4,4288.9,4612.4
"La Crosse-Onalaska, WI-MN (Metropolitan Statistical Area)",6458.3,6648.1,6981
"Lafayette, LA (Metropolitan Statistical Area)",26919.8,26426,23776.3
"Lafayette-West Lafayette, IN (Metropolitan Statistical Area)",9092.5,9429.2,9741.1
"Lake Charles, LA (Metropolitan Statistical Area)",13497.4,15053.4,15784.3
